=== FILE: Background.output000000001.wav.3dfetemi.ingestion-84f9b89597-pnvsl.wav ===
Timestamp_ms,Peak,Mean,CV
2500.0,544.3125,511.4816,0.0191
2520.0,546.0,511.2846,0.0184
2540.0,544.6875,510.7642,0.0234
2560.0,542.2031,510.7762,0.0213
2580.0,544.7188,512.454,0.0221
2600.0,544.0312,510.6297,0.0228
2620.0,537.2188,512.8034,0.0169
2640.0,534.9062,510.3886,0.0164
2660.0,543.8594,511.8592,0.0185
2680.0,535.9062,511.4024,0.0167
2700.0,536.0938,510.6256,0.0169
2720.0,542.6719,511.4705,0.0219
2740.0,539.5156,510.7252,0.0204
2760.0,532.8125,511.1726,0.0157
2780.0,539.625,511.0798,0.016
2800.0,534.8438,511.2103,0.0157
2820.0,535.4219,510.6844,0.0167
2840.0,545.3125,510.9504,0.0209
2860.0,541.3125,510.7924,0.0207
2880.0,543.5,511.1385,0.0196
2900.0,538.375,511.0047,0.0173
2920.0,534.9375,511.075,0.0164
2940.0,540.3594,510.5486,0.016
2960.0,541.2344,510.9854,0.0177
2980.0,535.9531,511.1454,0.017

=== FILE: Background.output000000010.wav.3dfeumjp.ingestion-84f9b89597-w9mt8.wav ===
Timestamp_ms,Peak,Mean,CV
20.0,552.2188,510.0584,0.0247
40.0,556.8125,509.4723,0.026
60.0,548.5469,509.353,0.0271
80.0,540.7031,509.2714,0.028
100.0,546.1406,510.2351,0.028
120.0,554.1875,509.3357,0.029
140.0,546.625,509.2306,0.0306
160.0,541.25,509.4324,0.0255
180.0,542.7969,510.075,0.0248
200.0,543.375,508.9076,0.0293
220.0,550.3125,509.796,0.0325
240.0,564.3281,509.7086,0.0431
260.0,559.7969,509.2642,0.0345
280.0,553.1562,509.6682,0.0306
300.0,547.6562,509.5694,0.0292
320.0,554.0,509.3003,0.0299
340.0,550.4062,509.827,0.028
360.0,548.5469,509.2044,0.0278
380.0,565.9219,509.7058,0.0333
400.0,557.8281,509.5771,0.0327
420.0,552.9375,509.2094,0.0288
440.0,550.6406,509.7474,0.0286
460.0,544.5625,509.3044,0.026
