SOUND=sounds/glass1.wav
[ms] | AMP | [ISI] - czas miedzy spike'ami | SPIKES_total
Wyslano: 1010 | Arduino: 3573 | 467 | 14328 | 145
Wyslano: 1021 | Arduino: 3594 | 470 | 15794 | 145
Wyslano: 1019 | Arduino: 3627 | 469 | 14297 | 147
Wyslano: 1008 | Arduino: 3647 | 466 | 15834 | 147
Wyslano: 1020 | Arduino: 3680 | 470 | 14272 | 149
Wyslano: 1019 | Arduino: 3700 | 469 | 15775 | 149
Wyslano: 1017 | Arduino: 3733 | 467 | 14274 | 151
Wyslano: 1018 | Arduino: 3753 | 467 | 15805 | 151
Wyslano: 1021 | Arduino: 3786 | 470 | 14280 | 153
Wyslano: 1019 | Arduino: 3806 | 468 | 15794 | 153
Wyslano: 1022 | Arduino: 3827 | 470 | 16628 | 154
Wyslano: 1020 | Arduino: 3848 | 468 | 17103 | 155
Wyslano: 1017 | Arduino: 3869 | 468 | 17346 | 156
Wyslano: 1021 | Arduino: 3892 | 469 | 17450 | 157
Wyslano: 1016 | Arduino: 3913 | 468 | 17519 | 158
Wyslano: 1016 | Arduino: 3934 | 467 | 17571 | 159
Wyslano: 1017 | Arduino: 3966 | 467 | 14751 | 161
Wyslano: 1019 | Arduino: 3986 | 468 | 16072 | 161
Wyslano: 1017 | Arduino: 4007 | 467 | 16827 | 162
Wyslano: 1014 | Arduino: 4028 | 467 | 17223 | 163
Wyslano: 1018 | Arduino: 4060 | 467 | 14674 | 165
Wyslano: 1020 | Arduino: 4080 | 469 | 16013 | 165
Wyslano: 1022 | Arduino: 4101 | 470 | 16746 | 166
Wyslano: 1022 | Arduino: 4122 | 470 | 17130 | 167
Wyslano: 1022 | Arduino: 4143 | 470 | 17325 | 168
Wyslano: 1019 | Arduino: 4175 | 468 | 14695 | 170
Wyslano: 1015 | Arduino: 4195 | 467 | 16055 | 170
Wyslano: 1021 | Arduino: 4216 | 470 | 16769 | 171
Wyslano: 1021 | Arduino: 4237 | 469 | 17159 | 172
Wyslano: 1022 | Arduino: 4269 | 470 | 14629 | 174
Wyslano: 1018 | Arduino: 4289 | 468 | 16001 | 174
Wyslano: 1019 | Arduino: 4310 | 468 | 16772 | 175
Wyslano: 1020 | Arduino: 4331 | 468 | 17178 | 176
Wyslano: 1019 | Arduino: 4352 | 468 | 17384 | 177
Wyslano: 1017 | Arduino: 4384 | 468 | 14710 | 179
Wyslano: 1019 | Arduino: 4405 | 468 | 16049 | 179
Wyslano: 1019 | Arduino: 4438 | 468 | 14363 | 181
Wyslano: 1020 | Arduino: 4458 | 469 | 15830 | 181
Wyslano: 1020 | Arduino: 4491 | 469 | 14291 | 183
Wyslano: 1017 | Arduino: 4511 | 467 | 15815 | 183
Wyslano: 1020 | Arduino: 4544 | 469 | 14295 | 185
Wyslano: 1015 | Arduino: 4564 | 467 | 15818 | 185
Wyslano: 1015 | Arduino: 4597 | 467 | 14286 | 187
Wyslano: 1014 | Arduino: 4618 | 467 | 15812 | 187
Wyslano: 1022 | Arduino: 4651 | 471 | 14238 | 189
Wyslano: 1022 | Arduino: 4671 | 470 | 15740 | 189
Wyslano: 1015 | Arduino: 4694 | 468 | 16631 | 190
Wyslano: 1022 | Arduino: 4715 | 470 | 17071 | 191
Wyslano: 1022 | Arduino: 4736 | 470 | 17295 | 192
Wyslano: 1020 | Arduino: 4768 | 469 | 14676 | 194
Wyslano: 1023 | Arduino: 4789 | 471 | 15984 | 194
Wyslano: 1018 | Arduino: 4822 | 468 | 14345 | 196
Wyslano: 1022 | Arduino: 4842 | 470 | 15805 | 196
Wyslano: 1021 | Arduino: 4875 | 469 | 14275 | 198
Wyslano: 1017 | Arduino: 4895 | 468 | 15792 | 198
Wyslano: 1019 | Arduino: 4928 | 468 | 14292 | 200
Wyslano: 1022 | Arduino: 4948 | 470 | 15773 | 200
Wyslano: 1019 | Arduino: 4981 | 468 | 14286 | 202
Wyslano: 1018 | Arduino: 5002 | 468 | 15798 | 202
Wyslano: 1019 | Arduino: 5035 | 468 | 14302 | 204
Wyslano: 1015 | Arduino: 5055 | 467 | 15822 | 204
Wyslano: 1003 | Arduino: 5088 | 465 | 14344 | 206
Wyslano: 1019 | Arduino: 5108 | 470 | 15804 | 206
Wyslano: 1015 | Arduino: 5141 | 466 | 14310 | 208
Wyslano: 1019 | Arduino: 5161 | 469 | 15798 | 208
Wyslano: 1011 | Arduino: 5183 | 466 | 16694 | 209
